Date,Consumption_kWh,Tariff_rate,Temperature
11-09-2024,14,6.86,34
12-09-2024,13,6.54,33
13-09-2024,15,6.11,31
14-09-2024,11,5.88,30
15-09-2024,12,6.65,32
16-09-2024,9,6.74,33
17-09-2024,13,6.42,30
18-09-2024,15,6.58,28
19-09-2024,16,7.01,29
20-09-2024,10,6.77,30
21-09-2024,11,6.89,32
22-09-2024,17,6.43,30
23-09-2024,13,6.29,29
24-09-2024,9,5.72,31
25-09-2024,14,6.56,33
26-09-2024,15,7.02,32
27-09-2024,10,5.93,31
28-09-2024,13,6.47,29
29-09-2024,14,6.58,30
30-09-2024,12,6.44,33
01-10-2024,13,6.78,32
02-10-2024,9,5.99,30
03-10-2024,14,7.02,31
04-10-2024,10,5.84,32
05-10-2024,12,6.61,29
06-10-2024,16,7.01,30
07-10-2024,17,6.98,33
08-10-2024,14,6.89,34
09-10-2024,9,5.77,31
10-10-2024,15,6.34,32
11-10-2024,11,6.73,30
12-10-2024,14,6.47,33
13-10-2024,16,6.61,31
14-10-2024,10,5.90,30
15-10-2024,12,6.28,34
16-10-2024,13,6.72,29
17-10-2024,14,6.84,32
18-10-2024,9,6.21,30
19-10-2024,16,6.57,31
20-10-2024,12,6.45,30
21-10-2024,13,6.39,32
22-10-2024,10,5.99,29
23-10-2024,16,7.02,34
24-10-2024,14,6.88,33
25-10-2024,9,5.92,31
26-10-2024,13,6.49,32
27-10-2024,15,6.74,30
28-10-2024,16,6.92,33
29-10-2024,10,6.42,31
30-10-2024,17,7.03,30
31-10-2024,9,5.83,29
01-11-2024,14,6.68,32
02-11-2024,13,6.47,31
03-11-2024,9,5.75,30
04-11-2024,12,6.39,33
05-11-2024,16,7.12,31
06-11-2024,10,5.99,30
07-11-2024,13,6.56,32
08-11-2024,14,6.81,29
09-11-2024,11,6.02,34
10-11-2024,9,6.43,31
11-11-2024,15,6.72,32
12-11-2024,14,6.61,30
13-11-2024,16,7.03,33
14-11-2024,13,6.58,29
15-11-2024,12,6.46,30
16-11-2024,9,5.98,31
17-11-2024,16,6.81,32
18-11-2024,13,6.44,33
19-11-2024,14,6.57,30
20-11-2024,10,6.61,31
21-11-2024,17,7.02,29
22-11-2024,14,6.94,32
23-11-2024,12,6.85,33
24-11-2024,13,6.39,30
25-11-2024,9,5.74,29
26-11-2024,15,6.77,30
27-11-2024,10,6.56,32
28-11-2024,14,7.02,31
29-11-2024,12,6.69,30
30-11-2024,16,7.04,32
